"country";"city";"radioname";"url_logo";"url_stream"
"Indonesia";"Bandar Lampung";"RRI Pro 4 Bandar Lampung";"https://www.rri.co.id/assets/v2/img/pro4.png";"https://stream-node1.rri.co.id/streaming/12/9112/rrilampungpro4.mp3"
"Indonesia";"Bandung";"Ardan 105.9 FM Bandung";"https://ardanradio.com/storage/logo/Logo%20Ardan.png";"https://n09.rcs.revma.com/1q762wy5a9hvv.m4a?1675997040=&rj-ttl=5&rj-tok=AAABjhfE8lEAXre3eAj57o7MvA"
"Indonesia";"Bandung";"Cakra 90.5 FM Bandung";"https://radiocakrabandung.com/storage/logo/cakra-logo-main-new.png";"https://stream-156.zeno.fm/yoengdcdzyauv?zs=9OBy5Tp6QwKhCr4JThtM5g"
"Indonesia";"Bandung";"Hardrock 87.7 FM Bandung";"https://upload.wikimedia.org/wikipedia/id/thumb/4/41/HARDROCK-FM-BANDUNG.svg/960px-HARDROCK-FM-BANDUNG.svg.png";"http://stream.radiojar.com/fnex9bkswk8uv"
"Indonesia";"Bandung";"Maestro 92.5 FM Bandung";"https://static.wixstatic.com/media/23f18b_7004dd79db2841a0bbc4a0f260f4c510~mv2.png";"http://maestro.skyline.net.id:10925/radio.maestro"
"Indonesia";"Bandung";"RRI Pro 1 Bandung";"https://www.rri.co.id/assets/v2/img/pro1.png";"https://stream-node0.rri.co.id/streaming/15/9015/rribandungpro1.mp3"
"Indonesia";"Bandung";"RRI Pro 2 Bandung";"https://www.rri.co.id/assets/v2/img/pro2.png";"https://stream-node0.rri.co.id/streaming/15/9015/rribandungpro2.mp3"
"Indonesia";"Bandung";"RRI Pro 4 Bandung";"https://www.rri.co.id/assets/v2/img/pro4.png";"https://stream-node0.rri.co.id/streaming/15/9015/rribandungpro4.mp3"
"Indonesia";"Bandung";"Sonora 93.3 FM Bandung";"https://upload.wikimedia.org/wikipedia/id/thumb/0/05/Logo-Sonora.png/250px-Logo-Sonora.png";"https://cast1.my-control-panel.com/proxy/radios17/stream"
"Indonesia";"Bangka Belitung";"RRI Pro 1 Belitung";"https://www.rri.co.id/assets/v2/img/pro1.png";"https://stream-node2.rri.co.id/streaming/20/9020/web-rribelitungpro1.mp3"
"Indonesia";"Banjarmasin";"RRI Pro 1 Banjarmasin";"https://www.rri.co.id/assets/v2/img/pro1.png";"https://stream-node0.rri.co.id/streaming/19/9019/rribanjarmasinpro1.mp3"
"Indonesia";"Banjarmasin";"RRI Pro 2 Banjarmasin";"https://www.rri.co.id/assets/v2/img/pro2.png";"https://stream-node0.rri.co.id/streaming/19/9019/rribanjarmasinpro2.mp3"
"Indonesia";"Banjarmasin";"RRI Pro 4 Banjarmasin";"https://www.rri.co.id/assets/v2/img/pro4.png";"https://stream-node0.rri.co.id/streaming/19/9019/rribanjarmasinpro4.mp3"
